         87054601 function calls (85851824 primitive calls) in 16.283 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      814    0.001    0.000    0.001    0.000 __init__.py:89(find_spec)
     5730    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      126    0.001    0.000    0.003    0.000 _compiler.py:509(_compile_info)
  671/668    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
      809    0.001    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
      257    0.001    0.000    0.007    0.000 _decorators.py:391(decorator)
     1469    0.001    0.000    0.001    0.000 enum.py:669(__call__)
  118/117    0.001    0.000    0.004    0.000 inspect.py:2422(_signature_from_callable)
      518    0.001    0.000    0.003    0.000 typing.py:1241(__init__)
     1052    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     5976    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
       18    0.001    0.000    0.001    0.000 arrayprint.py:1568(_guarded_repr_or_str)
     3259    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.002    0.002 defchararray.py:1(<module>)
     1194    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:405(parent)
        1    0.000    0.000    1.751    1.751 tac_cfg.py:64(__init__)
      810    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:922(find_spec)
      126    0.000    0.000    0.044    0.000 _compiler.py:738(compile)
      235    0.000    0.000    0.002    0.000 tac_cfg.py:861(<listcomp>)
      546    0.000    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
     1891    0.000    0.000    0.001    0.000 _parser.py:284(tell)
       13    0.000    0.000    0.001    0.000 enum.py:891(<listcomp>)
      231    0.000    0.000    0.001    0.000 typing.py:320(_remove_dups_flatten)
      211    0.000    0.000    0.000    0.000 _compiler.py:386(<listcomp>)
     1956    0.000    0.000    0.001    0.000 _parser.py:170(append)
      170    0.000    0.000    0.004    0.000 typing.py:1530(__getitem__)
     1169    0.000    0.000    0.003    0.000 typing.py:159(_type_convert)
      670    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
        1    0.000    0.000    0.000    0.000 extensions.py:430(BasicConstraints)
      825    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
     3208    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
       78    0.000    0.000    0.001    0.000 _decorators.py:305(<listcomp>)
      469    0.000    0.000    0.001    0.000 tac_cfg.py:692(__fresh_init)
     1661    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      673    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.575    0.575 tac_cfg.py:187(apply_operations)
     3247    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
     2407    0.000    0.000    0.000    0.000 {method 'to_bytes' of 'int' objects}
        2    0.000    0.000    0.011    0.005 six.py:1(<module>)
      938    0.000    0.000    0.000    0.000 cfg.py:250(__init__)
      823    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       78    0.000    0.000    0.006    0.000 _decorators.py:292(decorate)
      790    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      252    0.000    0.000    0.001    0.000 enum.py:1483(__and__)
      126    0.000    0.000    0.024    0.000 _parser.py:970(parse)
      246    0.000    0.000    0.001    0.000 typing.py:306(_deduplicate)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
      877    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
  314/254    0.000    0.000    0.001    0.000 typing.py:1636(__hash__)
     2501    0.000    0.000    0.000    0.000 memtypes.py:336(EQ)
     1335    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       79    0.000    0.000    0.001    0.000 config.py:453(register_option)
      810    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
     1594    0.000    0.000    0.000    0.000 typing.py:1348(__eq__)
     2033    0.000    0.000    0.000    0.000 {built-in method from_bytes}
     1973    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     1357    0.000    0.000    0.000    0.000 _parser.py:109(__init__)
      623    0.000    0.000    0.001    0.000 _compiler.py:396(_simple)
     1334    0.000    0.000    0.000    0.000 typing.py:882(__eq__)
      349    0.000    0.000    0.001    0.000 typing.py:1270(__getattr__)
        1    0.000    0.000    0.000    0.000 op.py:400(reduce_address)
     4002    0.000    0.000    0.000    0.000 op.py:438(<genexpr>)
      470    0.000    0.000    0.000    0.000 opcodes.py:171(halts)
      257    0.000    0.000    0.003    0.000 _decorators.py:411(<listcomp>)
      453    0.000    0.000    0.001    0.000 inspect.py:2745(replace)
     1818    0.000    0.000    0.000    0.000 memtypes.py:260(SUB)
     1469    0.000    0.000    0.000    0.000 enum.py:1074(__new__)
      848    0.000    0.000    0.000    0.000 typing.py:1631(__eq__)
      797    0.000    0.000    0.003    0.000 typing.py:684(<genexpr>)
      314    0.000    0.000    0.000    0.000 {method 'replace' of 'code' objects}
      842    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        3    0.000    0.000    0.005    0.002 core.py:1(<module>)
      211    0.000    0.000    0.001    0.000 _compiler.py:384(_mk_bitmap)
       82    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1559(__init__)
       20    0.000    0.000    0.000    0.000 generic.py:39(create_pandas_abc_type)
      632    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      331    0.000    0.000    0.000    0.000 typing.py:2532(overload)
     1001    0.000    0.000    0.000    0.000 __init__.py:621(<genexpr>)
        1    0.000    0.000    0.001    0.001 packages.py:1(<module>)
       10    0.000    0.000    0.036    0.004 base.py:1(<module>)
     2176    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      790    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
  740/571    0.000    0.000    0.001    0.000 typing.py:1354(__hash__)
        8    0.000    0.000    0.002    0.000 typing.py:2817(__new__)
      652    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
      618    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
     1438    0.000    0.000    0.000    0.000 memtypes.py:346(AND)
      232    0.000    0.000    0.000    0.000 _parser.py:307(_class_escape)
      382    0.000    0.000    0.001    0.000 tac_cfg.py:831(<listcomp>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:253(_extend_dict)
     1578    0.000    0.000    0.000    0.000 memtypes.py:250(ADD)
      456    0.000    0.000    0.000    0.000 enum.py:728(__delattr__)
      314    0.000    0.000    0.000    0.000 function_base.py:443(_needs_add_docstring)
      126    0.000    0.000    0.019    0.000 _compiler.py:571(_code)
      291    0.000    0.000    0.004    0.000 <frozen abc>:105(__new__)
       82    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
       82    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
        1    0.000    0.000    0.003    0.003 frame.py:473(DataFrame)
      226    0.000    0.000    0.003    0.000 typing.py:1539(copy_with)
        4    0.000    0.000    0.006    0.001 numeric.py:1(<module>)
       13    0.000    0.000    0.005    0.000 enum.py:874(_convert_)
      406    0.000    0.000    0.000    0.000 _parser.py:444(_uniq)
    64/36    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      266    0.000    0.000    0.000    0.000 _parser.py:367(_escape)
      406    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      618    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
     1495    0.000    0.000    0.000    0.000 memtypes.py:341(ISZERO)
        6    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
     1600    0.000    0.000    0.000    0.000 typing.py:1341(<genexpr>)
  143/113    0.000    0.000    0.000    0.000 _compiler.py:434(_get_literal_prefix)
     2961    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      614    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       56    0.000    0.000    0.001    0.000 typing.py:1006(__init__)
        1    0.000    0.000    0.001    0.001 numerictypes.py:1(<module>)
        7    0.000    0.000    0.014    0.002 common.py:1(<module>)
        1    0.000    0.000    0.003    0.003 generic.py:218(NDFrame)
      470    0.000    0.000    0.001    0.000 opcodes.py:182(possibly_halts)
      314    0.000    0.000    0.001    0.000 function_base.py:461(_add_docstring)
      825    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       46    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       82    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      844    0.000    0.000    0.000    0.000 inspect.py:3011(<genexpr>)
        1    0.000    0.000    0.000    0.000 tac_cfg.py:171(connect_blocks)
       83    0.000    0.000    0.000    0.000 enum.py:753(__getattr__)
     2260    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      865    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       57    0.000    0.000    0.000    0.000 typing.py:1822(__init_subclass__)
      161    0.000    0.000    0.007    0.000 _decorators.py:508(__call__)
      464    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      157    0.000    0.000    0.002    0.000 typing.py:832(__init__)
  332/232    0.000    0.000    0.010    0.000 typing.py:477(__getitem__)
